data\train/00000.png,5
data\train/00001.png,0
data\train/00002.png,4
data\train/00003.png,1
data\train/00004.png,9
data\train/00005.png,2
data\train/00006.png,1
data\train/00007.png,3
data\train/00008.png,1
data\train/00009.png,4
data\train/00010.png,3
data\train/00011.png,5
data\train/00012.png,3
data\train/00013.png,6
data\train/00014.png,1
data\train/00015.png,7
data\train/00016.png,2
data\train/00017.png,8
data\train/00018.png,6
data\train/00019.png,9
data\train/00020.png,4
data\train/00021.png,0
data\train/00022.png,9
data\train/00023.png,1
data\train/00024.png,1
data\train/00025.png,2
data\train/00026.png,4
data\train/00027.png,3
data\train/00028.png,2
data\train/00029.png,7
data\train/00030.png,3
data\train/00031.png,8
data\train/00032.png,6
data\train/00033.png,9
data\train/00034.png,0
data\train/00035.png,5
data\train/00036.png,6
data\train/00037.png,0
data\train/00038.png,7
data\train/00039.png,6
data\train/00040.png,1
data\train/00041.png,8
data\train/00042.png,7
data\train/00043.png,9
data\train/00044.png,3
data\train/00045.png,9
data\train/00046.png,8
data\train/00047.png,5
data\train/00048.png,9
data\train/00049.png,3
data\train/00050.png,3
data\train/00051.png,0
data\train/00052.png,7
data\train/00053.png,4
data\train/00054.png,9
data\train/00055.png,8
data\train/00056.png,0
data\train/00057.png,9
data\train/00058.png,4
data\train/00059.png,1
data\train/00060.png,4
data\train/00061.png,4
data\train/00062.png,6
data\train/00063.png,0
data\train/00064.png,4
data\train/00065.png,5
data\train/00066.png,6
data\train/00067.png,1
data\train/00068.png,0
data\train/00069.png,0
data\train/00070.png,1
data\train/00071.png,7
data\train/00072.png,1
data\train/00073.png,6
data\train/00074.png,3
data\train/00075.png,0
data\train/00076.png,2
data\train/00077.png,1
data\train/00078.png,1
data\train/00079.png,7
data\train/00080.png,9
data\train/00081.png,0
data\train/00082.png,2
data\train/00083.png,6
data\train/00084.png,7
data\train/00085.png,8
data\train/00086.png,3
data\train/00087.png,9
data\train/00088.png,0
data\train/00089.png,4
data\train/00090.png,6
data\train/00091.png,7
data\train/00092.png,4
data\train/00093.png,6
data\train/00094.png,8
data\train/00095.png,0
data\train/00096.png,7
data\train/00097.png,8
data\train/00098.png,3
data\train/00099.png,1
data\train/00100.png,5
data\train/00101.png,7
data\train/00102.png,1
data\train/00103.png,7
data\train/00104.png,1
data\train/00105.png,1
data\train/00106.png,6
data\train/00107.png,3
data\train/00108.png,0
data\train/00109.png,2
data\train/00110.png,9
data\train/00111.png,3
data\train/00112.png,1
data\train/00113.png,1
data\train/00114.png,0
data\train/00115.png,4
data\train/00116.png,9
data\train/00117.png,2
data\train/00118.png,0
data\train/00119.png,0
data\train/00120.png,2
data\train/00121.png,0
data\train/00122.png,2
data\train/00123.png,7
data\train/00124.png,1
data\train/00125.png,8
data\train/00126.png,6
data\train/00127.png,4
data\train/00128.png,1
data\train/00129.png,6
data\train/00130.png,3
data\train/00131.png,4
data\train/00132.png,5
data\train/00133.png,9
data\train/00134.png,1
data\train/00135.png,3
data\train/00136.png,3
data\train/00137.png,8
data\train/00138.png,5
data\train/00139.png,4
data\train/00140.png,7
data\train/00141.png,7
data\train/00142.png,4
data\train/00143.png,2
data\train/00144.png,8
data\train/00145.png,5
data\train/00146.png,8
data\train/00147.png,6
data\train/00148.png,7
data\train/00149.png,3
data\train/00150.png,4
data\train/00151.png,6
data\train/00152.png,1
data\train/00153.png,9
data\train/00154.png,9
data\train/00155.png,6
data\train/00156.png,0
data\train/00157.png,3
data\train/00158.png,7
data\train/00159.png,2
data\train/00160.png,8
data\train/00161.png,2
data\train/00162.png,9
data\train/00163.png,4
data\train/00164.png,4
data\train/00165.png,6
data\train/00166.png,4
data\train/00167.png,9
data\train/00168.png,7
data\train/00169.png,0
data\train/00170.png,9
data\train/00171.png,2
data\train/00172.png,9
data\train/00173.png,5
data\train/00174.png,1
data\train/00175.png,5
data\train/00176.png,9
data\train/00177.png,1
data\train/00178.png,2
data\train/00179.png,3
data\train/00180.png,2
data\train/00181.png,3
data\train/00182.png,5
data\train/00183.png,9
data\train/00184.png,1
data\train/00185.png,7
data\train/00186.png,6
data\train/00187.png,2
data\train/00188.png,8
data\train/00189.png,2
data\train/00190.png,2
data\train/00191.png,5
data\train/00192.png,0
data\train/00193.png,7
data\train/00194.png,4
data\train/00195.png,9
data\train/00196.png,7
data\train/00197.png,8
data\train/00198.png,3
data\train/00199.png,2
data\train/00200.png,1
data\train/00201.png,1
data\train/00202.png,8
data\train/00203.png,3
data\train/00204.png,6
data\train/00205.png,1
data\train/00206.png,0
data\train/00207.png,3
data\train/00208.png,1
data\train/00209.png,0
data\train/00210.png,0
data\train/00211.png,1
data\train/00212.png,7
data\train/00213.png,2
data\train/00214.png,7
data\train/00215.png,3
data\train/00216.png,0
data\train/00217.png,4
data\train/00218.png,6
data\train/00219.png,5
data\train/00220.png,2
data\train/00221.png,6
data\train/00222.png,4
data\train/00223.png,7
data\train/00224.png,1
